date,high,low,open,close,volume,adjclose,blocks-size,avg-block-size,n-transactions-per-block,n-payments-per-block,n-transactions-total,median-confirmation-time,avg-confirmation-time,total-bitcoins,market-price,market-cap,trade-volume,hash-rate,difficulty,transaction-fees,transaction-fees-usd,fees-usd-per-transaction,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-payments,transactions-per-second,output-volume,mempool-count,mempool-growth,mempool-size,utxo-count,n-transactions-excluding-popular,estimated-transaction-volume,estimated-transaction-volume-usd
2014-09-17,468.17401123046875,452.4219970703125,465.864013671875,457.3340148925781,21056800.0,457.3340148925781,,,,,,,,,,,,230941.5696626661,,,,,4.23159601430555,,,,,,,,,,,,123190.68034063,57086561.2698479
2014-09-18,456.8599853515625,413.10400390625,456.8599853515625,424.44000244140625,34483200.0,424.44000244140625,23614.028926,0.236702960893855,432.201117318436,,46945196.0,,,,,6028540935.0,,,,12.34660263,6033.262207623,0.0725544129351572,,29.1389665348761,,77364.0,,,,,,,,,,
2014-09-19,427.8349914550781,384.5320129394531,424.1029968261719,394.7959899902344,37919700.0,394.7959899902344,,,,,,7.78333333333333,,,425.56,,9378125.2984,,29829733124.0404,,,,,,143062.0,,,,709207.174723741,,,,,69437.0,,
2014-09-20,423.2959899902344,389.88299560546875,394.6730041503906,408.90399169921875,36863600.0,408.90399169921875,,,,,,,,,,,,251183.75303059025,,,,,3.06905374730131,,,,,,,,,,,,176331.45719682,69769067.6690657
2014-09-21,412.4259948730469,393.1809997558594,408.0849914550781,398.8210144042969,26580100.0,398.8210144042969,23731.291308,0.217996268292683,364.634146341463,,47156242.0,,,,,5473396253.0,,,,9.33716279999999,4207.6413034604,0.0642162493087984,,29.9105679120837,,59800.0,,,,,,,,,,
2014-09-22,406.9159851074219,397.1300048828125,399.1000061035156,402.1520080566406,24127600.0,402.1520080566406,,,,,,6.73333333333333,,,401.15,,5718501.5605,,29829733124.0404,,,,,,170784.0,,,,539538.212900137,,,,,73289.0,,
2014-09-23,441.5570068359375,396.1969909667969,402.0920104980469,435.7909851074219,45099500.0,435.7909851074219,,,,,,,,,,,,256320.190379556,,,,,3.12071928476905,,,,,,,,,,,,157508.84265945,62995661.6216471
2014-09-24,436.11199951171875,421.1319885253906,435.7510070800781,423.2049865722656,30627700.0,423.2049865722656,23856.767787,0.285509256410256,480.602564102564,,47365583.0,,,,,5855523213.0,,,,12.35686671,5905.0261963733,0.0723859200065374,,24.0758856809686,,74974.0,,,,,,,,,,
2014-09-25,423.5199890136719,409.4679870605469,423.156005859375,411.5740051269531,26814400.0,411.5740051269531,,,,,,7.3,,,423.68,,6001795.8016,,29829733124.0404,,,,,,168665.0,,,,679083.422491803,,,,,78523.0,,
2014-09-26,414.93798828125,400.0090026855469,411.4289855957031,404.42498779296875,21460800.0,404.42498779296875,,,,,,,,,,,,242339.08908612563,,,,,3.21271340738879,,,,,,,,,,,,119788.88724027,49136203.6570863
2014-09-27,406.62298583984375,397.37200927734375,403.5559997558594,399.5199890136719,15029300.0,399.5199890136719,23992.087873,0.293733864661654,473.481203007519,,47592450.0,,,,,5390555080.5,,,,10.4471904,4444.5288907197,0.0670528165276643,,21.8949185156406,,62973.0,,,,,,,,,,
2014-09-28,401.0169982910156,374.3320007324219,399.47100830078125,377.1809997558594,23613300.0,377.1809997558594,,,,,,7.58333333333333,,,400.39,,2177480.976,,34661425923.9769,,,,,,214115.0,,,,465163.671420482,,,,,62605.0,,
2014-09-29,385.21099853515625,372.239990234375,376.9280090332031,375.4670104980469,32497700.0,375.4670104980469,,,,,,,,,,,,237192.7421188844,,,,,2.14503424091236,,,,,,,,,,,,178914.94096046,67136042.446003
2014-09-30,390.97698974609375,373.4429931640625,376.0880126953125,386.9440002441406,34707300.0,386.9440002441406,24118.477865,0.297150699346405,509.843137254902,,47796417.0,,,,,,,,,12.1265494,4974.6203337656,0.0579610184879537,,19.1158478140185,,78006.0,,,,,,,,,,
2014-10-01,391.3789978027344,380.7799987792969,387.427001953125,383.614990234375,26229400.0,383.614990234375,,,,,,7.75,,,390.18,5201801724.0,5593043.0136,,34661425923.9769,,,,,,184302.0,,,,700946.524121399,,,,,78779.0,,
2014-10-02,385.49700927734375,372.9460144042969,383.9880065917969,375.0719909667969,21777700.0,375.0719909667969,,,,,,,,,,,,244492.45359017776,,,,,3.25937042086305,,,,,,,,,,,,126935.8178367,48748431.4820063
2014-10-03,377.69500732421875,357.8590087890625,375.1809997558594,359.5119934082031,30901200.0,359.5119934082031,24251.253796,0.289027129251701,511.027210884354,,48024460.0,,,,,,,,,12.07920856,4795.692917499,0.0602428575421325,,19.0602491384757,,75121.0,,,,,,,,,,
2014-10-04,364.48699951171875,325.885986328125,359.8919982910156,328.8659973144531,47236500.0,328.8659973144531,,,,,,8.21666666666667,,,358.9,4789224407.5,7318369.379,,34661425923.9769,,,,,,140633.0,,,,653572.499621088,,,,,66632.0,,
2014-10-05,341.8009948730469,289.2959899902344,328.9159851074219,320.510009765625,83308096.0,320.510009765625,,,,,,,,,,,,247623.8573426998,,,,,1.75349183066075,,,,,,,,,,,,281608.0516742,92477268.0892905
2014-10-06,345.1340026855469,302.55999755859375,320.3890075683594,330.0790100097656,79011800.0,330.0790100097656,24382.001027,0.280036701863354,484.776397515528,,48233900.0,,,,,,,,,12.61174465,4354.7079855492,0.0521297163564116,,17.7932892164522,,78049.0,,,,,,,,,,
2014-10-07,339.24700927734375,320.48199462890625,330.5840148925781,336.18701171875,49199900.0,336.18701171875,,,,,,7.03333333333333,,,327.61,4375747535.75,22795539.5213,,34661425923.9769,,,,,,171824.0,,,,863049.423662904,,,,,79069.0,,
2014-10-08,354.364013671875,327.18798828125,336.1159973144531,352.94000244140625,54736300.0,352.94000244140625,,,,,,,,,,,,262392.6758720853,,,,,1.91864955421619,,,,,,,,,,,,206566.92188163,69005745.9237773
2014-10-09,382.72601318359375,347.68701171875,352.74798583984375,365.0260009765625,83641104.0,365.0260009765625,24516.742609,0.300559547297297,559.385135135135,,48470108.0,,,,,,,,,13.90439876,5665.37320104,0.0593015460411367,,16.1277581326324,,82789.0,,,,,,,,,,
2014-10-10,375.0669860839844,352.9630126953125,364.68701171875,361.56201171875,43665700.0,361.56201171875,,,,,,7.15,,,363.61,4861047548.5,17386292.1297,,35002482026.1332,,,,,,171643.0,,,,985124.640111173,,,,,81058.0,,
2014-10-11,367.1910095214844,355.95098876953125,361.36199951171875,362.29901123046875,13345200.0,362.29901123046875,,,,,,,,,,,,262629.4035253776,,,,,2.8630949001539,,,,,,,,,,,,159363.41821938,57514257.6353742
2014-10-12,379.4330139160156,356.1440124511719,362.6059875488281,378.54901123046875,17552800.0,378.54901123046875,24640.944958,0.286207486486487,429.114864864865,,48698567.0,,,,,,,,,11.01613637,4746.642066768,0.0636680223031669,,21.4253838486281,,63509.0,,,,,,,,,,
2014-10-13,397.22601318359375,368.8970031738281,377.9209899902344,390.41400146484375,35221400.0,390.41400146484375,,,,,,7.78333333333333,,,380.8,,5406042.432,,35002482026.1332,,,,,,181958.0,,,,777900.516941769,,,,,77942.0,,
2014-10-14,411.697998046875,391.3240051269531,391.6919860839844,400.8699951171875,38491500.0,400.8699951171875,,,,,,,,,,5245270570.5,,254597.33284852465,,,,,1.79765906314704,,,,,,,,,,,,231694.36487965,90819557.1455253
2014-10-15,402.22698974609375,388.7659912109375,400.9549865722656,394.77301025390625,25267100.0,394.77301025390625,24778.265555,0.297119046357616,505.013245033113,,48922428.0,,,,,,,,,12.55077471,5411.275370025,0.06606125242666,,20.826654809005,,76257.0,,,,,,,,,,
2014-10-16,398.8070068359375,373.07000732421875,394.51800537109375,382.5559997558594,26990000.0,382.5559997558594,,,,,,7.01666666666667,,,394.84,,7556518.9912,,35002482026.1332,,,,,,159050.0,,,,1055720.1589948,,,,,75737.0,,
2014-10-17,385.4779968261719,375.3890075683594,382.7560119628906,383.75799560546875,13600700.0,383.75799560546875,,,,,,,,,,5141200533.75,,258511.7331420516,,,,,2.52099946696884,,,,,,,,,,,,149230.53073801,57282139.2237851
2014-10-18,395.1579895019531,378.97100830078125,383.97601318359375,391.4419860839844,11416800.0,391.4419860839844,24905.969308,0.225046048780488,405.34756097561,,49143757.0,,,,,,,,,10.35069092,4198.7992333274,0.0596513550885422,,24.8261205477181,,66477.0,,,,,,,,,,
2014-10-19,393.9389953613281,386.4570007324219,391.2539978027344,389.5459899902344,5914570.0,389.5459899902344,,,,,,8.3,,,391.0,,2762915.48,,35002482026.1332,,,,,,,,,,454054.118035242,,,,,63255.0,,
2014-10-20,390.0840148925781,378.25201416015625,389.2309875488281,382.8450012207031,16419000.0,382.8450012207031,,,,,,,,,,,,255280.33647777612,,,,,2.83004355518318,,166994.0,,,,,,,,,,135638.0351804,52822876.420655
2014-10-21,392.64599609375,380.8340148925781,382.4209899902344,386.4750061035156,14188900.0,386.4750061035156,25030.695047,0.312191,533.666666666667,,49356377.0,,,,,5113929052.0,,,,13.01537323,5726.2165899162,0.0607491681510312,,20.1940347611916,,81651.0,,,,,,,,,,
2014-10-22,388.57598876953125,382.2489929199219,386.1180114746094,383.1579895019531,11641300.0,383.1579895019531,,,,,,6.75,,,385.89,,3068666.7402,,35002482026.1332,,,,,,,,,,866640.039092052,,,,,79987.0,,
2014-10-23,385.0480041503906,356.4469909667969,382.9620056152344,358.4169921875,26456900.0,358.4169921875,,,,,,,,,,,,257517.45724535157,,,,,2.56698314851676,,164169.0,,,,,,,,,,157319.32834477,60421634.4373758
2014-10-24,364.3450012207031,353.30499267578125,358.59100341796875,358.3450012207031,15585700.0,358.3450012207031,25171.117904,0.269695314465409,489.974842767296,,49598618.0,,,,,4793088200.0,,,,12.35002581,4819.681932888,0.0564028733764145,,18.7626789848321,,77906.0,,,,,,,,,,
2014-10-25,359.8609924316406,342.87701416015625,358.6109924316406,347.27099609375,18127500.0,347.27099609375,,,,,,7.78333333333333,,,358.49,,5618226.6008,,35985640265.0762,,,,,,,,,,914765.189541027,,,,,72515.0,,
2014-10-26,359.22100830078125,343.9309997558594,347.48699951171875,354.7040100097656,11272500.0,354.7040100097656,,,,,,,,,,,,261957.99668838008,,,,,3.28956306007234,,184703.0,,,,,,,,,,98381.38950736,34138342.1590539
2014-10-27,358.6319885253906,349.8089904785156,354.7770080566406,352.989013671875,13033000.0,352.989013671875,25297.017488,0.315266540880503,528.157232704403,,49820021.0,,,,,4771963240.0,,,,13.52589194,4999.727939041,0.0570888572363036,,17.4005712386563,,83977.0,,,,,,,,,,
2014-10-28,359.9840087890625,352.6789855957031,353.2149963378906,357.6180114746094,7845880.0,357.6180114746094,,,,,,7.21666666666667,,,350.9,,3328191.757,,35985640265.0762,,,,,,,,,,843974.100864434,,,,,87980.0,,
2014-10-29,357.8330078125,335.3429870605469,357.0889892578125,335.59100341796875,18192700.0,335.59100341796875,,,,,,,,,,,,269178.88971104537,,,,,2.96396590851408,,174417.0,,,,,,,,,,165000.80790139,58705637.4432356
2014-10-30,350.9129943847656,335.0719909667969,335.7090148925781,345.30499267578125,30177900.0,345.30499267578125,25445.827354,0.298692794117647,544.835294117647,,50086419.0,,,,,4507916639.25,,,,13.86147032,4984.3199803099,0.0501087763175822,,16.4002696288359,,92622.0,,,,,,,,,,
2014-10-31,348.0450134277344,337.1419982910156,345.0090026855469,338.3210144042969,12545400.0,338.3210144042969,,,,,,5.95,,,345.3,,4881499.194,,35985640265.0762,,,,,,,,,,1292623.20016124,,,,,85703.0,,
2014-11-01,340.52899169921875,321.05499267578125,338.6499938964844,325.7489929199219,16677200.0,325.7489929199219,,,,,,,,,,,,277528.21229768166,,,,,3.99120104985917,,143835.0,,,,,,,,,,113723.65639812,38414713.894721
2014-11-02,329.04998779296875,320.6260070800781,326.07501220703125,325.8919982910156,8603620.0,325.8919982910156,25582.58125,0.315692987096774,497.870967741935,,50333527.0,,,,,4366452417.75,,,,12.64623465,4280.485402767,0.0528689961312065,,17.1874010103597,,77170.0,,,,,,,,,,
2014-11-03,334.00201416015625,325.4809875488281,325.5690002441406,327.5539855957031,12948500.0,327.5539855957031,,,,,,6.81666666666667,,,324.36,,2717870.8248,,35985640265.0762,,,,,,,,,,1077667.49614244,,,,,90351.0,,
